Coin,classification,Closed PnL
@1,Unknown,14.610183470588236
@10,Unknown,-0.015871
@100,Unknown,6.9067855
@103,Unknown,5.508290857142858
@107,Unknown,92.82184979381168
@109,Unknown,270.704207
@11,Unknown,0.0
@112,Unknown,-7.444960571428571
@113,Unknown,3.385244
@114,Unknown,0.6545385
@116,Unknown,0.3445898
@117,Unknown,1.15792225
@12,Unknown,0.0
@123,Unknown,0.0
@124,Unknown,-16.0754845
@125,Unknown,12.767743689655173
@13,Unknown,-0.04126333333333333
@135,Unknown,-5981.36399
@138,Unknown,12.737671
@14,Unknown,0.0
@142,Unknown,5.69164222459893
@147,Unknown,-70.1265388
@15,Unknown,0.0
@151,Unknown,35.75260113888889
@152,Unknown,0.006818159090909091
@153,Unknown,0.34526536274509806
@16,Unknown,-0.01510725
@17,Unknown,0.0
@18,Unknown,0.0
@19,Unknown,0.0
@2,Unknown,-0.1815892
@20,Unknown,0.12148943589743588
@21,Unknown,0.0
@23,Unknown,0.0
@24,Unknown,-0.0009786666666666665
@25,Unknown,0.0
@26,Unknown,-0.025801799999999996
@28,Unknown,0.0
@29,Unknown,-0.013062333333333334
@3,Unknown,0.020109304347826085
@30,Unknown,0.0
@31,Unknown,11.070757666666667
@32,Unknown,0.0
@33,Unknown,3.39173225
@34,Unknown,0.0
@35,Unknown,16.75703175
@36,Unknown,5.221024333333333
@37,Unknown,22.989169307692308
@38,Unknown,3.6968881111111114
@39,Unknown,6.119278
@4,Unknown,-0.10843387231638418
@40,Unknown,1.3499647777777777
@41,Unknown,7.347688
@42,Unknown,0.0
@44,Unknown,0.0
@45,Unknown,0.0
@46,Unknown,0.0
@47,Unknown,12.5783645
@48,Unknown,0.0
@49,Unknown,-8.1424434
@51,Unknown,-1.5039844363636363
@53,Unknown,16.966176750000002
@59,Unknown,55.58925232608696
@6,Unknown,0.0
@61,Unknown,0.0
@63,Unknown,-10.331773
@68,Unknown,0.0
@7,Unknown,0.0
@74,Unknown,41.29258322222222
@78,Unknown,0.0
@8,Unknown,0.589567134057971
@83,Unknown,-30.212037638888887
@85,Unknown,200.80409097727272
