Account,Closed PnL
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272
